Campus,Course ID,CRN,Section,Title,Link,Schedule Type,Start Date,Meeting Days,Meeting Time,Building,Room,Primary Instructor Last Name,Cap
Main,ME6551,46223,100,Precision Mach. & Micro Mfr,,Lecture,8/29/18,M,19:00 - 21:20,Elson S. Floyd Hall,C0141,Ghantasala,20
Main,ME6710,45187,100,Adv Heat Transfer I,,Lecture,8/29/18,M,16:00 - 18:50,Elson S. Floyd Hall,D0206,Cho,20
Main,ME6950,44257,100,Intro Analy of Elast Plts,,Lecture,8/29/18,W,19:00 - 21:20,Elson S. Floyd Hall,D0206,Kim,10
Main,ME6970,41655,100,Problms In Mech Engr,,Independent Study,8/29/18,,,,,Ghantasala,6
Main,ME6970,41656,110,Problms In Mech Engr,,Independent Study,8/29/18,,,,,Ari-Gur,6
Main,ME6990,42399,100,Practical Training,,Supervision or Practicum,8/29/18,,,,,Ghantasala,6
Main,ME7000,41657,100,Masters Thesis,,Independent Study,8/29/18,,,,,Gustafson,6
Main,ME7000,46408,105,Masters Thesis,,Independent Study,8/29/18,,,,,Montefort Sanchez,6
Main,ME7000,41659,110,Masters Thesis,,Independent Study,8/29/18,,,,,Meyer,6
Main,ME7000,41775,120,Masters Thesis,,Independent Study,8/29/18,,,,,Ghantasala,6
Main,ME7000,41658,130,Masters Thesis,,Independent Study,8/29/18,,,,,Hudson,6
Main,ME7000,41774,140,Masters Thesis,,Independent Study,8/29/18,,,,,Shrestha,6
Main,ME7000,42882,150,Masters Thesis,,Independent Study,8/29/18,,,,,Lee,6
Main,ME7000,42883,160,Masters Thesis,,Independent Study,8/29/18,,,,,Hansford,6
Main,ME7000,42884,170,Masters Thesis,,Independent Study,8/29/18,,,,,Liu,6
Main,ME7000,44726,180,Masters Thesis,,Independent Study,8/29/18,,,,,,6
Main,ME7000,44733,190,Masters Thesis,,Independent Study,8/29/18,,,,,Naghshineh,6
Main,ME7000,44736,195,Masters Thesis,,Independent Study,8/29/18,,,,,Ro,6
Main,ME7100,41660,100,Independent Research,,Independent Study,8/29/18,,,,,Lemmer,6
Main,ME7100,41661,110,Independent Research,,Independent Study,8/29/18,,,,,Liu,6
Main,ME7100,42889,120,Independent Research,,Independent Study,8/29/18,,,,,Ari-Gur,6
Main,ME7100,44304,130,Independent Research,,Independent Study,8/29/18,,,,,Hansford,6
Main,ME7100,44725,140,Independent Research,,Independent Study,8/29/18,,,,,,6
Main,ME7300,41662,100,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Shrestha,6
Main,ME7300,46475,105,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Liou,6
Main,ME7300,41663,110,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Kujawski,6
Main,ME7300,46476,115,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Merati,6
Main,ME7300,43245,120,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Hansford,6
Main,ME7300,43495,130,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Liu,6
Main,ME7300,43496,140,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Gustafson,6
Main,ME7300,43839,150,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Patten,6
Main,ME7300,43840,160,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Lemmer,6
Main,ME7300,43842,170,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Hudson,6
Main,ME7300,43843,180,Doctoral Dissertation,,Independent Study,8/29/18,,,,,Ari-Gur,6
Main,ME7350,43466,100,Graduate Research,,Independent Study,8/29/18,,,,,Merati,6
Main,ME7350,43467,110,Graduate Research,,Independent Study,8/29/18,,,,,Merati,6
Main,ME7350,43468,120,Graduate Research,,Independent Study,8/29/18,,,,,Naghshineh,6
Main,ME7350,45611,130,Graduate Research,,Independent Study,8/29/18,,,,,Naghshineh,6
